func,params,time,dump
sincrono,gc_0.5,"2,24","2.236.339,00"
sincrono,gc_2,"21,62","21.616.106,00"
sincrono,gc_4,"21.172.710.000,00","21.172.709.999.999.900,00"
sincrono,gr_0.5,"12.829.477.000,00","12.829.476.999.999.900,00"
sincrono,gr_2,"22.681.390.000,00","22.681.390.000.000.000,00"
sincrono,gr_4,"22,95","22.948.362,00"
sincrono,gcr_0.5,"23.075.365.000,00","23.075.364.999.999.900,00"
sincrono,gcr_2,"25,24","25.241.324,00"
sincrono,gcr_4,"5,09","5.087.239,00"
sincrono,ng_0.5,"86,64","86.635.517,00"
sincrono,ng_2,"24,10","24.095.632,00"
sincrono,ng_4,"23.184.015.000,00","23.184.015.000.000.000,00"
sincrono,m_0.5,"23.478.991.000,00","23.478.991.000.000.000,00"
sincrono,m_2,"26,82","26.821.757,00"
sincrono,m_4,"0,78","784.816,00"
sincrono,n_0.5,"34.061.359.000,00","34.061.358.999.999.900,00"
sincrono,n_2,"25,17","25.168.057,00"
sincrono,n_4,"19.937.318.000,00","19.937.318.000.000.000,00"
paralelo,gc_0.5,"79.660.118.000,00","79.660.117.999.999.900,00"
paralelo,gc_2,"3.747.777.200,00","3.747.777.199.999.990,00"
paralelo,gc_4,"39.565.864.000,00","39.565.864.000.000.000,00"
paralelo,gr_0.5,"3.830.253.900,00","3.830.253.899.999.990,00"
paralelo,gr_2,"20.273.459.000,00","20.273.458.999.999.900,00"
paralelo,gr_4,"13,37","13.369.571,00"
paralelo,gcr_0.5,"40,14","40.136.755,00"
paralelo,gcr_2,"4.173.520.300,00","4.173.520.300.000.000,00"
paralelo,gcr_4,"40,46","40.460.699,00"
paralelo,ng_0.5,"44,36","44.356.707,00"
paralelo,ng_2,"9,03","9.034.108,00"
paralelo,ng_4,"151,31","151.314.336,00"
paralelo,m_0.5,"40,38","40.381.821,00"
paralelo,m_2,"41,44","41.435.912,00"
paralelo,m_4,"41,77","41.774.169,00"
paralelo,n_0.5,"4.394.453.500,00","4.394.453.499.999.990,00"
paralelo,n_2,"118,19","118.190.007,00"
paralelo,n_4,"419,63","419.628.455,00"